gene_id	gene_name	SRR3222409_KO	SRR3222410_KO	SRR3222411_KO	SRR3222412_WT	SRR3222413_WT	SRR3222414_WT
ENSMUSG00000024846	Cst6	7.39286572223634	7.35641952900921	7.28693123132364	7.32451803682462	7.36109984859385	7.43414596230346
ENSMUSG00000024847	Aip	9.26361586263269	9.12747305230472	9.1265648653001	9.21243305725557	9.31215305304996	9.3412672691386
ENSMUSG00000024851	Pitpnm1	7.91384428108631	7.98759663051025	7.75725120950875	8.16706829388066	8.10234316239566	8.03015667085617
ENSMUSG00000024853	Sf3b2	10.0014400693666	10.1823343231541	10.0456504805528	10.2207416655957	10.0854816155858	9.99195799203075
ENSMUSG00000024854	Pold4	8.38949362366089	8.2016841993044	8.07383692677776	8.19355130125074	8.09166512457565	8.34988318664015
ENSMUSG00000024855	Pacs1	8.25412555423942	8.29856684610638	8.19897651619142	8.1214742195558	8.16430696943138	8.06492550906653
ENSMUSG00000024856	Cdk2ap2	8.94370486630784	8.8655446930084	8.71559985867661	8.74510655639803	8.86783739017019	8.73386018113154
ENSMUSG00000024857	Cabp2	6.69309390772734	6.86029628209775	6.84253668835852	6.69309390772734	6.69309390772734	6.69309390772734
ENSMUSG00000024858	Grk2	8.84497293774981	9.01108273670279	8.78666507908875	8.90121258890062	8.73114610427554	8.81245810381409
ENSMUSG00000024862	Klc2	7.71195185758425	7.74111473402587	7.91594717137024	7.89960185140621	7.72819051024332	7.93133134867105
ENSMUSG00000024863	Mbl2	6.69309390772734	6.69309390772734	6.69309390772734	6.69309390772734	6.69309390772734	6.69309390772734
ENSMUSG00000024866	Acy3	7.64344077437085	7.51827916543745	7.56430648825622	7.37053765782871	7.55691638056771	7.50102147136271
ENSMUSG00000024867	Pip5k1b	6.89691715038443	7.13399958654891	7.05833993509113	6.99827770286894	7.04195916933653	6.96183502500662
ENSMUSG00000024868	Dkk1	6.69309390772734	6.69309390772734	6.69309390772734	6.69309390772734	6.69309390772734	6.69309390772734
ENSMUSG00000024869	Gm49405	6.69309390772734	6.86029628209775	6.69309390772734	6.94242986723758	6.82522789473628	6.82761009188626
ENSMUSG00000024870	Rab1b	10.2391895666899	10.2815301537028	10.0789494801961	10.3383998152632	10.4499604158781	10.2811956277462
ENSMUSG00000024871	Doc2g	7.19030775527518	7.13399958654891	6.99158045856975	7.12389182698717	6.82522789473628	6.9259144555803
ENSMUSG00000024873	Cnih2	7.49856294550468	7.3959005397719	7.35587731372626	7.39233618712362	7.26549218942222	7.27568225113925
ENSMUSG00000024875	Yif1a	8.63374108176709	8.68100919048288	8.63170301108027	8.84099939955363	8.8650137586194	8.8094042836905
ENSMUSG00000024878	Cbwd1	7.76668497023429	7.76528131384049	7.77626605551833	7.76367909125684	7.80260559253133	7.72212675171455
